dispute_id,transaction_id,transaction_amount_inr,days_since_transaction,dispute_reason_code,merchant_category,customer_account_age_days,previous_dispute_count,delivery_proof_available,tracking_number_valid,signature_confirmation,delivery_confirmed_before_dispute,avs_match,cvv_match,ip_device_match,customer_account_age_norm,customer_communication_count,customer_communication_sentiment,refund_policy_disclosed_at_purchase,product_photos_available,duplicate_transaction_exists,refund_already_processed,refund_processed_before_dispute,subscription_cancellation_confirmed,evidence_completeness_score,win_probability_true,won
DSP100014,TXN200014,620.46,18,item_not_received,digital_goods,931,1.0,0,0,0,0,1,0,0,0.4655,3.0,0.14,1,0,0,1,0,0,0.25,0.01,0
DSP100015,TXN200015,1097.65,64,item_not_received,electronics,1202,0.0,1,0,0,0,0,1,0,0.601,3.0,-0.68,1,0,0,0,0,0,0.25,0.4027,0
DSP100016,TXN200016,1189.44,112,not_as_described,digital_goods,620,0.0,1,1,0,0,0,0,0,0.31,0.0,-0.61,1,0,0,0,0,0,0.25,0.0153,0
DSP100017,TXN200017,8470.16,53,fraud,digital_goods,1584,0.0,0,1,0,0,0,0,1,0.792,4.0,0.51,1,0,0,0,0,0,0.25,0.0289,0
DSP100018,TXN200018,1033.4,77,credit_not_processed,food_delivery,315,0.0,1,1,0,0,1,0,1,0.1575,0.0,0.39,1,1,0,1,0,1,0.667,0.2171,0
DSP100019,TXN200019,159.88,37,not_as_described,digital_goods,1919,2.0,1,0,0,0,1,0,0,0.9595,4.0,-0.36,0,0,1,0,0,0,0.25,0.095,0
DSP100020,TXN200020,5405.06,12,duplicate_charge,travel,1711,1.0,1,0,0,0,0,0,0,0.8555,1.0,0.05,1,0,1,0,0,0,0.25,0.795,1
DSP100021,TXN200021,2099.09,27,item_not_received,subscription,1199,0.0,0,0,0,0,0,0,0,0.5995,1.0,0.22,0,1,1,0,0,0,0.167,0.0104,0
DSP100022,TXN200022,1174.96,58,subscription_cancelled,retail,97,0.0,0,0,0,0,0,1,1,0.0485,2.0,-0.44,0,0,1,0,0,1,0.333,0.2019,0
DSP100023,TXN200023,865.05,104,credit_not_processed,food_delivery,1457,0.0,0,0,0,0,0,0,1,0.7285,1.0,-1.0,0,1,1,1,0,0,0.333,0.3187,0
DSP100024,TXN200024,519.61,30,duplicate_charge,retail,1408,0.0,1,0,0,0,1,0,1,0.704,1.0,0.14,0,1,1,0,0,0,0.417,0.6532,0
DSP100025,TXN200025,9302.59,119,fraud,retail,1242,0.0,1,0,0,0,1,0,0,0.621,2.0,0.73,0,0,0,0,0,0,0.167,0.2457,0
DSP100026,TXN200026,1410.71,77,item_not_received,retail,560,1.0,1,0,0,0,0,0,0,0.28,2.0,-0.33,0,0,0,0,0,0,0.083,0.2119,1
DSP100027,TXN200027,235.63,43,fraud,retail,860,1.0,1,0,0,1,1,0,0,0.43,1.0,-0.03,0,0,0,1,0,0,0.25,0.0565,0
DSP100028,TXN200028,1858.9,75,fraud,travel,830,0.0,0,1,0,0,0,1,1,0.415,0.0,0.52,1,0,0,0,0,0,0.333,0.2444,0
DSP100029,TXN200029,4474.6,84,duplicate_charge,electronics,1219,1.0,0,1,1,0,0,1,0,0.6095,2.0,0.7,0,0,0,0,0,0,0.25,0.0834,0
DSP100030,TXN200030,1566.24,83,duplicate_charge,electronics,662,0.0,1,0,0,0,0,1,1,0.331,1.0,0.19,0,0,1,1,0,0,0.417,0.7436,0
DSP100031,TXN200031,543.7,104,subscription_cancelled,retail,801,0.0,0,0,0,0,1,1,1,0.4005,1.0,-0.25,1,1,1,0,0,0,0.5,0.1038,0
DSP100032,TXN200032,497.17,80,item_not_received,electronics,1815,0.0,1,1,0,0,1,0,1,0.9075,3.0,0.06,0,0,0,0,0,0,0.333,0.6251,1
DSP100033,TXN200033,535.22,4,item_not_received,food_delivery,907,0.0,0,1,1,0,0,1,0,0.4535,1.0,-0.18,0,0,1,0,0,1,0.417,0.2345,1
DSP100034,TXN200034,6134.34,46,item_not_received,food_delivery,1188,0.0,1,0,1,0,0,1,0,0.594,2.0,-0.19,0,0,0,0,0,0,0.25,0.5167,0
DSP100035,TXN200035,1246.8,109,fraud,subscription,1822,0.0,0,0,0,1,0,1,0,0.911,0.0,0.29,0,0,0,0,0,0,0.083,0.0347,0
DSP100036,TXN200036,249.95,25,fraud,travel,1889,0.0,1,1,0,0,1,1,0,0.9445,2.0,0.2,1,0,0,0,0,0,0.417,0.3498,1
DSP100037,TXN200037,1966.74,60,item_not_received,digital_goods,1127,1.0,1,0,0,0,1,0,0,0.5635,2.0,0.21,0,0,1,0,0,1,0.333,0.1827,0
DSP100038,TXN200038,1542.31,61,item_not_received,food_delivery,530,0.0,0,0,0,0,0,1,1,0.265,1.0,-0.14,0,0,0,0,0,0,0.167,0.0023,0
DSP100039,TXN200039,855.0,67,not_as_described,subscription,200,1.0,0,1,0,0,1,1,0,0.1,3.0,0.73,0,0,1,0,1,1,0.5,0.1992,0
DSP100040,TXN200040,482.8,105,item_not_received,subscription,1719,0.0,0,0,0,0,0,1,1,0.8595,1.0,-0.4,1,0,0,0,0,0,0.25,0.0246,0
DSP100041,TXN200041,462.25,65,credit_not_processed,digital_goods,1047,0.0,0,0,0,1,1,0,0,0.5235,0.0,-0.88,1,1,0,1,0,1,0.417,0.5402,0
DSP100042,TXN200042,3970.45,1,duplicate_charge,electronics,1132,0.0,1,0,0,1,1,1,1,0.566,2.0,-0.32,0,0,0,0,1,0,0.417,0.0676,0
DSP100043,TXN200043,1715.59,30,item_not_received,digital_goods,1906,0.0,0,0,0,0,1,0,1,0.953,1.0,0.19,1,1,0,0,0,1,0.417,0.0669,0
DSP100044,TXN200044,2161.69,76,credit_not_processed,subscription,742,0.0,1,1,1,0,0,0,0,0.371,3.0,-0.1,1,0,1,0,0,0,0.417,0.0391,0
DSP100045,TXN200045,1710.87,94,credit_not_processed,digital_goods,200,1.0,1,0,1,0,1,1,0,0.1,0.0,-0.52,0,0,1,0,0,1,0.5,0.1053,0
DSP100046,TXN200046,1858.8,78,item_not_received,retail,1346,0.0,0,0,0,0,0,0,0,0.673,0.0,0.65,1,0,0,0,0,1,0.167,0.1047,0
DSP100047,TXN200047,838.49,88,item_not_received,electronics,1942,0.0,0,0,0,0,1,1,0,0.971,0.0,-1.0,1,0,0,1,0,1,0.417,0.0247,0
DSP100048,TXN200048,1090.26,29,duplicate_charge,food_delivery,339,0.0,0,0,0,0,1,1,1,0.1695,3.0,-0.08,0,0,0,0,1,0,0.333,0.1202,0
DSP100049,TXN200049,4293.73,12,fraud,digital_goods,1975,0.0,0,0,0,0,0,1,0,0.9875,0.0,-0.04,0,0,0,0,0,0,0.083,0.0498,0
DSP100050,TXN200050,5511.49,114,fraud,retail,1082,0.0,0,0,0,0,0,0,0,0.541,2.0,1.0,0,0,0,0,1,0,0.083,0.0483,0
DSP100051,TXN200051,394.61,68,fraud,retail,1121,0.0,0,0,0,0,1,0,0,0.5605,1.0,0.46,1,0,0,1,0,0,0.25,0.078,0
DSP100052,TXN200052,1087.61,89,credit_not_processed,digital_goods,1919,0.0,0,0,1,0,0,1,0,0.9595,0.0,0.26,0,1,1,0,0,0,0.333,0.0466,0
DSP100053,TXN200053,3100.4,115,not_as_described,electronics,664,0.0,1,0,1,1,0,1,1,0.332,0.0,1.0,1,0,0,0,0,0,0.417,0.1737,0
DSP100054,TXN200054,8796.24,22,duplicate_charge,digital_goods,1490,0.0,0,0,0,0,1,0,0,0.745,1.0,0.35,1,0,0,1,0,1,0.333,0.0781,0
DSP100055,TXN200055,7958.21,105,credit_not_processed,retail,17,0.0,0,0,0,0,1,1,1,0.0085,3.0,0.45,0,1,0,0,0,0,0.333,0.0501,0
DSP100056,TXN200056,604.4,44,item_not_received,electronics,1342,1.0,0,0,0,0,0,1,1,0.671,1.0,-0.25,1,0,0,1,0,0,0.333,0.0446,0
DSP100057,TXN200057,4793.64,76,not_as_described,electronics,31,0.0,0,0,0,0,1,1,1,0.0155,1.0,0.66,1,0,0,1,0,0,0.417,0.061,0
DSP100058,TXN200058,1420.32,47,fraud,digital_goods,8,0.0,0,1,0,0,0,1,0,0.004,1.0,-0.49,1,0,0,1,0,0,0.333,0.0171,0
DSP100059,TXN200059,3806.31,24,fraud,food_delivery,776,1.0,0,1,0,0,1,1,1,0.388,1.0,-0.31,0,0,0,0,0,0,0.333,0.4785,1
DSP100060,TXN200060,2946.22,106,not_as_described,food_delivery,745,0.0,0,0,0,1,0,1,1,0.3725,3.0,0.82,0,0,0,0,0,0,0.167,0.0469,1
DSP100061,TXN200061,378.43,42,item_not_received,food_delivery,1566,1.0,0,0,0,0,0,0,0,0.783,5.0,-0.02,1,0,0,1,0,1,0.25,0.1452,0
DSP100062,TXN200062,2321.51,3,not_as_described,digital_goods,1783,1.0,1,0,0,0,0,0,0,0.8915,2.0,0.09,0,0,1,0,0,0,0.167,0.0656,0
DSP100063,TXN200063,3661.75,19,duplicate_charge,subscription,1884,1.0,0,0,0,1,0,0,0,0.942,2.0,0.92,0,1,0,0,0,1,0.167,0.1267,0
DSP100064,TXN200064,1312.7,116,not_as_described,electronics,1246,1.0,1,0,0,1,1,0,1,0.623,0.0,-0.33,1,0,1,0,0,0,0.417,0.0052,0
DSP100065,TXN200065,1047.0,99,not_as_described,subscription,309,2.0,1,1,0,1,1,0,0,0.1545,0.0,0.03,1,0,1,0,0,0,0.417,0.0116,0
DSP100066,TXN200066,278.2,80,not_as_described,electronics,1341,0.0,0,1,0,1,1,0,1,0.6705,2.0,-0.72,0,0,0,0,0,1,0.333,0.0076,0
DSP100067,TXN200067,2653.45,94,item_not_received,retail,975,0.0,0,1,1,0,1,0,0,0.4875,0.0,0.41,1,0,1,0,0,1,0.5,0.245,0
DSP100068,TXN200068,1650.36,78,fraud,food_delivery,1058,0.0,0,0,0,0,0,0,0,0.529,0.0,0.41,0,0,0,0,0,0,0.0,0.0187,0
DSP100069,TXN200069,532.62,110,item_not_received,electronics,1003,0.0,1,1,0,0,0,1,0,0.5015,2.0,0.18,0,1,1,1,0,0,0.5,0.5831,1
DSP100070,TXN200070,966.96,12,fraud,food_delivery,1765,1.0,1,1,0,0,0,0,1,0.8825,1.0,-0.39,1,0,1,1,0,0,0.5,0.2792,1
DSP100071,TXN200071,1563.22,8,item_not_received,electronics,760,0.0,0,1,0,0,0,1,0,0.38,2.0,0.24,1,0,0,0,0,1,0.333,0.0966,0
DSP100072,TXN200072,766.14,84,credit_not_processed,travel,1928,0.0,0,0,0,0,0,1,0,0.964,1.0,-0.37,1,0,1,0,0,0,0.25,0.0535,0
DSP100073,TXN200073,1343.02,116,item_not_received,electronics,1079,1.0,1,0,0,0,1,1,0,0.5395,4.0,-0.7,0,0,0,0,0,0,0.25,0.3793,1
DSP100074,TXN200074,232.77,70,fraud,electronics,1375,0.0,1,1,0,0,0,1,0,0.6875,1.0,0.5,1,0,0,0,1,0,0.417,0.1581,0
DSP100075,TXN200075,5163.77,116,item_not_received,food_delivery,1850,0.0,1,1,0,0,0,0,0,0.925,1.0,0.09,0,1,0,0,0,0,0.25,0.3646,1
DSP100076,TXN200076,1360.91,49,item_not_received,subscription,1629,0.0,0,0,0,0,1,0,0,0.8145,2.0,-0.18,1,0,0,0,1,0,0.25,0.0174,0
DSP100077,TXN200077,446.15,81,not_as_described,food_delivery,877,0.0,1,0,0,0,1,0,0,0.4385,3.0,0.31,1,0,0,0,0,0,0.25,0.0696,0
DSP100078,TXN200078,114.47,62,not_as_described,digital_goods,408,0.0,0,0,0,0,1,1,1,0.204,0.0,-0.62,0,0,1,0,0,0,0.333,0.0606,1
DSP100079,TXN200079,3748.59,106,credit_not_processed,food_delivery,275,1.0,0,1,0,0,0,1,0,0.1375,2.0,0.47,1,0,1,0,0,0,0.333,0.0955,0
DSP100080,TXN200080,2340.43,78,not_as_described,electronics,727,1.0,1,1,0,0,0,1,0,0.3635,3.0,0.31,1,0,0,0,0,0,0.333,0.0505,0
DSP100081,TXN200081,1653.56,53,item_not_received,retail,1330,0.0,0,0,0,0,1,0,0,0.665,3.0,-0.75,0,1,0,0,0,0,0.167,0.0365,0
DSP100082,TXN200082,3176.86,30,credit_not_processed,digital_goods,1597,2.0,0,1,0,0,1,0,0,0.7985,1.0,0.61,1,0,1,0,0,1,0.417,0.0912,0
DSP100083,TXN200083,3168.14,38,fraud,travel,62,0.0,0,0,1,0,1,1,1,0.031,2.0,1.0,1,0,0,0,0,0,0.417,0.8633,1
DSP100084,TXN200084,1626.91,9,fraud,travel,924,0.0,0,0,0,0,1,0,1,0.462,3.0,0.72,0,1,1,0,1,0,0.417,0.7866,1
DSP100085,TXN200085,1038.76,19,fraud,food_delivery,1880,0.0,1,0,0,0,0,1,0,0.94,1.0,0.65,1,0,1,0,0,0,0.333,0.2494,0
DSP100086,TXN200086,882.59,62,duplicate_charge,travel,1644,0.0,0,0,0,0,0,0,0,0.822,2.0,-0.04,1,1,0,0,0,0,0.167,0.0774,0
DSP100087,TXN200087,2040.48,4,item_not_received,food_delivery,1879,0.0,1,0,0,1,0,0,0,0.9395,0.0,-0.93,0,0,0,0,0,0,0.083,0.0199,0
DSP100088,TXN200088,5415.56,57,fraud,retail,1913,0.0,0,0,0,0,0,1,0,0.9565,2.0,-0.06,1,0,0,0,0,0,0.167,0.2781,1
DSP100089,TXN200089,1208.45,6,not_as_described,digital_goods,184,0.0,1,1,0,0,0,0,0,0.092,2.0,-0.08,1,1,1,1,0,0,0.5,0.5683,1
DSP100090,TXN200090,5863.36,20,fraud,subscription,1362,1.0,0,1,0,0,1,0,0,0.681,1.0,-0.11,1,0,0,0,0,0,0.25,0.0084,0
DSP100091,TXN200091,1945.26,83,duplicate_charge,travel,1101,1.0,1,0,0,0,0,1,0,0.5505,0.0,-0.24,0,0,0,0,0,0,0.167,0.099,0
DSP100092,TXN200092,1959.98,4,item_not_received,subscription,954,2.0,1,0,0,0,0,1,0,0.477,2.0,0.17,0,1,0,0,0,0,0.25,0.3258,0
DSP100093,TXN200093,14840.41,41,item_not_received,food_delivery,1594,0.0,1,0,0,0,0,0,1,0.797,1.0,-0.31,0,0,0,1,0,0,0.25,0.1737,1
DSP100094,TXN200094,6993.09,23,item_not_received,digital_goods,1869,0.0,1,0,0,0,1,0,1,0.9345,0.0,-0.41,0,0,0,1,0,1,0.417,0.4181,0
DSP100095,TXN200095,7176.8,7,not_as_described,travel,929,1.0,1,0,0,0,0,0,1,0.4645,2.0,-0.11,0,0,0,0,0,1,0.25,0.0054,0
DSP100096,TXN200096,603.28,25,item_not_received,electronics,1297,1.0,0,1,0,1,0,1,0,0.6485,3.0,-0.05,1,0,1,0,0,0,0.333,0.0072,0
DSP100097,TXN200097,11994.25,14,fraud,electronics,957,0.0,0,0,0,0,0,1,1,0.4785,1.0,-0.26,1,0,1,0,0,0,0.333,0.7075,1
DSP100098,TXN200098,1233.71,10,fraud,retail,1271,0.0,0,1,0,1,0,1,0,0.6355,3.0,0.67,1,0,1,1,0,0,0.417,0.3055,0
DSP100099,TXN200099,1066.9,80,subscription_cancelled,subscription,1940,2.0,0,0,0,0,1,1,0,0.97,0.0,0.24,0,0,0,1,0,0,0.25,0.0569,0
DSP100100,TXN200100,154.59,15,credit_not_processed,travel,1622,0.0,1,0,0,0,0,0,0,0.811,1.0,0.37,0,0,1,1,0,0,0.25,0.331,0
DSP100101,TXN200101,1856.21,113,duplicate_charge,retail,461,0.0,1,0,1,0,1,0,0,0.2305,2.0,0.48,1,0,0,1,1,1,0.583,0.0738,0
DSP100102,TXN200102,453.34,59,item_not_received,food_delivery,1733,0.0,0,1,0,0,0,0,1,0.8665,2.0,-0.21,0,0,0,0,0,1,0.25,0.1755,0
DSP100103,TXN200103,2014.76,49,subscription_cancelled,retail,1052,0.0,0,0,0,0,0,1,1,0.526,1.0,0.88,1,0,0,0,0,0,0.25,0.1143,0
DSP100104,TXN200104,419.24,106,duplicate_charge,digital_goods,1168,1.0,0,1,0,0,0,0,1,0.584,0.0,0.38,0,0,0,1,0,0,0.25,0.0981,0
DSP100105,TXN200105,8084.47,94,duplicate_charge,subscription,229,0.0,1,1,0,0,1,1,1,0.1145,2.0,0.26,0,0,0,0,0,0,0.417,0.1144,0
DSP100106,TXN200106,2325.23,51,item_not_received,subscription,889,0.0,0,0,0,0,0,1,0,0.4445,0.0,-0.59,1,0,1,0,0,0,0.25,0.0313,0
DSP100107,TXN200107,13093.5,117,item_not_received,travel,604,1.0,0,0,1,0,1,1,1,0.302,2.0,-0.46,0,0,0,0,0,1,0.417,0.053,0
DSP100108,TXN200108,481.53,64,fraud,subscription,175,0.0,0,0,0,0,1,0,0,0.0875,0.0,0.27,0,0,1,0,0,0,0.167,0.0204,0
DSP100109,TXN200109,6305.51,85,credit_not_processed,electronics,1701,0.0,0,0,0,0,1,1,0,0.8505,3.0,-0.52,0,0,1,0,0,0,0.25,0.0956,1
DSP100110,TXN200110,220.81,117,item_not_received,travel,258,0.0,0,1,0,0,1,0,1,0.129,2.0,-0.24,0,0,0,0,0,0,0.25,0.2392,0
DSP100111,TXN200111,1649.25,87,fraud,digital_goods,1432,0.0,0,0,0,0,0,1,0,0.716,3.0,0.08,0,0,0,1,0,1,0.25,0.171,0
DSP100112,TXN200112,712.21,71,item_not_received,food_delivery,1490,0.0,0,1,1,1,1,1,0,0.745,0.0,-0.17,0,0,0,0,0,0,0.333,0.1142,0
DSP100113,TXN200113,855.81,74,not_as_described,retail,1224,0.0,0,1,1,0,1,1,1,0.612,0.0,0.38,1,0,0,0,0,0,0.5,0.0043,0
DSP100114,TXN200114,799.11,79,fraud,electronics,1680,0.0,0,1,0,0,1,1,0,0.84,2.0,0.48,1,1,0,0,0,1,0.5,0.2255,0
DSP100115,TXN200115,536.62,118,credit_not_processed,travel,227,0.0,1,1,1,0,0,1,1,0.1135,1.0,-0.52,1,0,0,0,0,1,0.583,0.0726,0
DSP100116,TXN200116,380.05,85,duplicate_charge,subscription,32,1.0,1,0,1,0,1,1,1,0.016,3.0,-0.21,1,0,0,0,0,0,0.5,0.1609,0
DSP100117,TXN200117,860.55,36,duplicate_charge,subscription,1701,1.0,0,0,0,0,1,0,1,0.8505,0.0,-0.14,1,0,0,0,0,0,0.25,0.0943,0
DSP100118,TXN200118,1504.22,3,item_not_received,travel,366,0.0,0,0,0,0,0,1,0,0.183,3.0,-0.11,1,1,1,0,0,0,0.333,0.0252,0
DSP100119,TXN200119,4288.51,94,not_as_described,electronics,596,1.0,0,0,0,0,0,0,0,0.298,1.0,0.17,0,0,0,0,0,0,0.0,0.0128,0
DSP100120,TXN200120,1799.66,59,not_as_described,subscription,1379,0.0,0,0,0,1,1,1,1,0.6895,2.0,-1.0,1,0,0,0,1,0,0.417,0.017,0
DSP100121,TXN200121,4300.73,50,not_as_described,electronics,1069,0.0,1,1,0,0,1,1,1,0.5345,1.0,-0.01,1,0,0,1,0,0,0.583,0.1905,1
DSP100122,TXN200122,305.46,113,fraud,retail,401,1.0,0,1,0,0,1,0,1,0.2005,3.0,-1.0,1,0,0,1,1,0,0.5,0.3351,0
DSP100123,TXN200123,868.73,19,item_not_received,travel,466,0.0,0,0,0,0,1,1,1,0.233,2.0,0.27,1,0,1,0,0,0,0.417,0.016,0
DSP100124,TXN200124,2727.13,5,fraud,electronics,1672,0.0,0,0,0,0,1,1,0,0.836,2.0,-0.23,0,0,0,1,0,0,0.25,0.5987,0
DSP100125,TXN200125,1887.84,89,item_not_received,subscription,1041,0.0,0,0,0,0,1,0,0,0.5205,3.0,0.08,1,1,0,0,1,1,0.417,0.058,0
DSP100126,TXN200126,566.13,111,item_not_received,travel,1844,0.0,1,0,0,0,0,0,0,0.922,4.0,-0.13,1,0,0,0,0,0,0.167,0.5854,0
DSP100127,TXN200127,3408.64,100,fraud,retail,1124,3.0,0,1,1,0,0,0,0,0.562,2.0,0.47,1,1,0,0,0,0,0.333,0.0048,0
DSP100128,TXN200128,787.39,105,fraud,digital_goods,1326,0.0,0,1,0,0,1,1,0,0.663,1.0,-0.36,0,0,0,1,1,0,0.417,0.5316,1
DSP100129,TXN200129,615.62,104,not_as_described,food_delivery,680,0.0,0,0,0,0,0,1,0,0.34,1.0,-0.14,1,0,0,1,0,1,0.333,0.0068,0
DSP100130,TXN200130,2179.71,83,fraud,food_delivery,59,0.0,1,0,0,0,0,1,0,0.0295,2.0,0.3,0,1,0,0,0,0,0.25,0.1593,0
DSP100131,TXN200131,1347.72,111,subscription_cancelled,electronics,1011,0.0,0,0,0,0,0,1,0,0.5055,2.0,1.0,0,0,0,1,0,0,0.167,0.0493,0
DSP100132,TXN200132,794.0,41,not_as_described,retail,1460,0.0,0,1,0,0,1,1,0,0.73,4.0,-0.37,1,0,0,0,0,0,0.333,0.1358,0
DSP100133,TXN200133,767.49,90,item_not_received,travel,812,0.0,0,1,0,0,0,0,1,0.406,1.0,0.56,0,0,0,1,0,0,0.25,0.1917,0
DSP100134,TXN200134,459.53,12,not_as_described,digital_goods,1720,2.0,0,0,0,0,0,0,1,0.86,2.0,-0.62,0,1,0,0,0,0,0.167,0.1863,0
DSP100135,TXN200135,901.67,64,fraud,electronics,1394,0.0,0,1,0,0,0,1,0,0.697,3.0,-0.38,0,0,0,0,0,0,0.167,0.1602,0
DSP100136,TXN200136,4023.91,35,subscription_cancelled,retail,1012,1.0,1,0,0,0,0,0,0,0.506,1.0,0.81,0,0,1,1,0,0,0.25,0.0983,0
DSP100137,TXN200137,1710.52,113,item_not_received,digital_goods,1087,0.0,0,0,0,0,0,1,0,0.5435,0.0,0.09,1,1,1,0,0,1,0.417,0.1316,0
DSP100138,TXN200138,3493.27,53,credit_not_processed,digital_goods,454,0.0,0,0,0,1,0,0,0,0.227,0.0,0.01,1,1,1,0,0,0,0.25,0.1202,0
DSP100139,TXN200139,2244.12,26,fraud,retail,1756,0.0,0,0,0,0,0,0,1,0.878,4.0,-0.19,1,0,1,0,0,0,0.25,0.0569,0
DSP100140,TXN200140,726.15,69,item_not_received,food_delivery,119,0.0,0,1,0,0,1,0,0,0.0595,1.0,-0.28,0,0,0,1,0,0,0.25,0.2392,1
DSP100141,TXN200141,257.46,10,item_not_received,food_delivery,99,1.0,0,0,0,0,0,0,0,0.0495,0.0,-0.25,0,0,0,0,0,0,0.0,0.0819,0
DSP100142,TXN200142,530.14,16,subscription_cancelled,food_delivery,1568,1.0,0,1,0,0,1,0,0,0.784,0.0,0.6,1,0,0,0,0,1,0.333,0.388,0
DSP100143,TXN200143,684.55,52,not_as_described,electronics,53,1.0,0,0,0,0,0,0,1,0.0265,2.0,-0.5,0,0,0,0,0,0,0.083,0.0243,0
DSP100144,TXN200144,633.6,76,item_not_received,travel,1018,0.0,1,0,0,0,0,0,0,0.509,0.0,-0.58,0,0,1,0,0,1,0.25,0.1382,1
DSP100145,TXN200145,3572.5,70,item_not_received,digital_goods,377,1.0,0,0,0,0,0,1,0,0.1885,0.0,-0.43,1,0,1,0,0,0,0.25,0.0305,0
DSP100146,TXN200146,3535.42,7,item_not_received,travel,1362,0.0,1,0,0,0,0,0,0,0.681,4.0,-0.17,1,0,0,0,0,1,0.25,0.1265,0
DSP100147,TXN200147,12232.84,82,not_as_described,subscription,237,1.0,0,0,0,0,1,1,1,0.1185,2.0,-1.0,0,0,0,1,0,0,0.333,0.0159,0
DSP100148,TXN200148,624.08,7,item_not_received,food_delivery,529,0.0,1,1,0,0,0,0,0,0.2645,1.0,-0.53,1,0,0,0,0,0,0.25,0.8545,0
DSP100149,TXN200149,6617.34,98,fraud,digital_goods,1051,0.0,1,0,0,0,0,1,0,0.5255,1.0,0.16,1,0,0,0,0,0,0.25,0.0968,1
DSP100150,TXN200150,6576.56,5,credit_not_processed,subscription,755,0.0,0,0,0,0,1,0,0,0.3775,3.0,0.18,1,0,1,0,0,0,0.25,0.1206,0
DSP100151,TXN200151,1061.82,4,credit_not_processed,subscription,400,0.0,0,1,0,0,1,1,0,0.2,0.0,0.64,0,0,0,1,0,0,0.333,0.5501,0
DSP100152,TXN200152,2150.71,63,fraud,digital_goods,124,2.0,0,1,0,1,1,1,1,0.062,2.0,0.13,1,0,0,0,0,0,0.417,0.4039,0
DSP100153,TXN200153,4631.95,97,not_as_described,food_delivery,32,0.0,0,0,0,0,1,1,0,0.016,1.0,0.31,0,1,0,0,0,0,0.25,0.2112,0
DSP100154,TXN200154,1262.79,92,fraud,food_delivery,383,0.0,0,0,0,0,0,1,0,0.1915,3.0,0.63,1,0,1,0,0,0,0.25,0.2353,0
DSP100155,TXN200155,1168.65,73,not_as_described,digital_goods,565,0.0,1,1,0,0,1,1,0,0.2825,0.0,-0.19,0,1,0,0,1,0,0.5,0.0592,0
DSP100156,TXN200156,715.27,22,item_not_received,retail,239,0.0,0,0,1,1,0,0,0,0.1195,3.0,0.52,1,0,0,0,0,0,0.167,0.0077,0
